Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 1;6/25/2020;background;#N/A;1;2.4745834;219.9243;110.8665;413.1622;46.911;237.9153;250.687;13.5067;256.5084;75.9526;38.0272;17.4811;1.2597;53.007877;192.8488;9.1262;24.5247;55.9279;29.5794;8.8763;3.4805;8.7406;3.4888;10.8853;7.4869;1.2366751;3.8583;0.2746934
Background 1;6/25/2020;background;#N/A;1;2.54002;227.0196;118.0902;405.0521;50.2389;259.9792;252.4804;18.7445;262.0217;85.7187;48.555;20.0731;2.8197;67.725403;175.3068;6.8582;18.9947;55.4786;25.706;6.7303;4.472;10.3464;6.6999;10.4832;7.3164;5.1351104;4.5749;0.057054315
Background 1;6/25/2020;background;#N/A;1;3.8778996;237.3396;123.3898;501.5866;45.0875;243.8572;310.8107;19.3782;246.841;96.9314;46.3125;20.8374;0.411;62.900677;236.8212;12.6855;18.5486;50.2328;42.0537;12.0057;8.49;11.666;9.1599;5.2983;8.7335;3.6070793;3.4174;2.799686
Background 1;6/25/2020;background;#N/A;1;3.2514243;232.6562;135.9942;421.9811;45.8378;232.8955;256.0182;18.212;268.4578;83.194;61.232;17.9728;0.2851;63.274334;219.8093;7.7169;17.0264;47.6003;36.2026;10.057;6.3253;10.0611;6.7383;5.5471;4.7958;0;2.3933;2.5349584
Background 1;6/25/2020;background;#N/A;1;6.1623669;248.5882;112.6006;428.6486;47.5601;227.3981;289.1738;17.285;275.5535;81.2526;47.3497;20.1988;4.99;72.338654;254.4864;10.2408;19.1114;49.6246;35.8267;12.6329;5.9178;11.1466;7.3387;9.538;11.572;0.74373829;2.4389;0.34881279
Background 1;6/25/2020;background;#N/A;1;2.0362086;236.5165;112.7318;409.8036;46.2879;234.6695;266.1622;20.5929;256.7042;83.4232;43.6594;34.1861;1.5346;80.511169;272.9959;11.9252;22.9048;61.9664;28.8725;7.7979;6.3205;18.1932;3.6025;9.3386;8.9069;2.1092484;3.3485;2.3815913
Background 1;6/25/2020;background;#N/A;1;1.8769579;235.1279;84.6517;341.8408;33.8075;239.6161;196.143;26.2276;265.1636;82.1068;45.4396;24.2758;2.1306;67.331619;222.7503;9.6406;23.1484;55.7438;35.552;7.3722;8.4512;9.182;8.5616;4.93;8.7777;3.7017143;6.2022;2.2420309
Background 2;6/25/2020;background;#N/A;2;2.2696791;218.6625;89.1648;301.1986;31.4268;184.1549;168.6757;10.5913;165.9045;75.2161;37.381;10.2891;0.1831;32.785473;258.8344;14.736;14.6956;40.3958;19.6509;8.2928;8.7494;16.611;3.9892;5.1083;7.1597;2.7918723;2.9772;0.26644903
Background 2;6/25/2020;background;#N/A;2;4.6079531;298.5247;124.6528;484.4533;48.7128;349.0904;348.8557;7.1133;204.7262;97.6253;73.5708;21.8204;1.4496;16.957771;355.574;15.0292;22.0804;54.9714;35.6101;15.6957;8.1124;14.5269;6.2172;7.2879;17.6031;1.4916857;2.7635;1.9496362
Background 2;6/25/2020;background;#N/A;2;4.7411165;258.928;123.6137;404.206;36.302;357.3167;259.3998;21.2967;232.6019;90.4054;65.2361;22.5533;0.137;43.730183;295.0827;13.7395;24.3644;59.3786;33.2037;10.576;4.4819;12.2258;8.1622;8.9693;12.0861;0;2.9863;2.454767
