Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
T7S3;6/25/2020;induced;7;3;6.5314026;275.1856;130.1851;379.2509;56.8119;314.5867;250.2616;26.3682;157.2134;111.9879;67.4485;17.4658;3.8494;59.799599;306.7444;29.1978;24.5075;60.9416;33.516;7.0124;21.1022;14.9077;8.9441;3.6705;19.2769;0;42.6556;1.1725589
Background 8;8/25/2020;background;#N/A;8;3.4402227;434.7902;82.0633;206.9944;28.4264;184.1258;233.1997;9.5442;284.6353;98.9608;59.6983;15.1455;2.1194;117.12903;60.0823;31.3109;41.5048;45.0581;28.7719;6.7026;6.4686;10.8149;4.0744;3.882;3.5766;8.7169008;2.5919;0.55249918
Background 8;8/25/2020;background;#N/A;8;5.2924051;459.4574;81.7317;214.7273;22.2582;206.6525;219.7934;16.532;302.532;96.473;51.4187;10.6814;3.9628;124.66633;65.4904;41.0819;35.8839;42.5285;30.6152;6.8115;2.3511;11.4874;4.4332;2.2091;4.225;4.5150852;1.1773;3.2698646
Background 8;8/25/2020;background;#N/A;8;7.5364518;455.3807;96.8752;231.7618;35.4279;178.1235;214.3551;11.6204;308.2692;90.9946;54.385;19.4459;0.7295;120.23203;73.1847;27.9573;34.5411;34.4301;24.8335;9.8747;5.5798;8.1882;4.2265;6.6427;5.3778;7.7725563;5.5047;0.49191713
Background 8;8/25/2020;background;#N/A;8;1.6204395;443.7144;84.6735;264.1455;39.7615;177.9746;193.3144;14.7163;315.8381;101.9075;57.0347;18.5147;0.6967;116.60093;54.501;34.8104;36.7048;39.806;24.192;8.1724;5.0351;5.9742;5.0674;5.0229;7.1071;6.1875534;3.7488;0.43322465
Background 8;8/25/2020;background;#N/A;8;0.74739116;431.3815;87.7501;220.5275;26.4111;191.3968;178.2618;10.8543;329.5525;89.4661;67.9259;15.9439;2.3023;145.68256;70.6087;35.2013;32.1861;35.3221;24.5889;12.3695;2.3624;9.9005;6.1069;4.5223;4.2786;3.8257375;5.3043;0.76506162
Background 8;8/25/2020;background;#N/A;8;2.9548156;443.7452;78.4297;235.7925;37.3404;217.4984;210.7789;7.9822;314.0234;107.5341;61.1141;12.3621;3.7955;132.28265;70.9661;27.2362;38.2762;34.7002;24.7545;8.2918;1.7937;9.189;4.8816;1.1386;3.6762;1.7544943;3.7307;3.0005109
Background 8;8/25/2020;background;#N/A;8;2.5548491;462.5039;97.4176;228.7846;37.4721;183.5958;189.0581;6.7431;309.0856;87.8876;47.9681;8.8899;1.8775;151.85048;73.4815;31.4624;36.4867;41.6953;41.3754;6.9648;5.4193;15.4001;5.9196;10.5639;6.1151;2.3718793;2.0495;1.9560866
Background 8;8/25/2020;background;#N/A;8;1.8335936;487.7235;89.6513;251.7586;28.2011;182.4427;206.5211;9.5196;351.4182;94.2454;54.7156;24.5608;1.0784;136.91536;66.1087;36.9343;49.2213;44.5409;24.101;9.7997;4.0373;10.7414;2.0634;7.1973;4.516;3.6506672;2.363;1.8253559
Background 8;8/25/2020;background;#N/A;8;1.0434672;507.5414;87.0493;232.7655;38.8389;179.9816;189.1606;7.4891;325.7099;92.0288;59.8971;22.7189;3.3805;118.95254;76.1129;35.9073;45.0384;45.2283;32.203;9.5048;6.4353;17.1586;4.2407;6.1209;8.042;4.3620062;3.3605;0.6349923
Background 8;8/25/2020;background;#N/A;8;1.8699499;501.6356;81.195;261.3539;25.8968;194.9643;210.8073;10.9397;321.7361;83.5329;52.9748;28.3241;1.1657;145.75571;59.8022;42.6231;54.7671;45.0197;28.5053;8.5406;4.5323;12.2709;6.7813;6.2953;6.8957;1.710981;2.3638;0.33954868
Background 8;8/25/2020;background;#N/A;8;4.041182;509.8454;91.7296;245.5874;37.2865;215.8921;181.9582;14.5624;325.6268;101.0081;64.8004;17.6181;2.7529;123.30893;66.4998;39.8868;32.9026;45.8811;27.9483;16.5623;5.9359;17.5241;5.4179;4.2491;7.0771;5.9357939;4.5054;1.6456574
Background 8;8/25/2020;background;#N/A;8;3.8935564;485.2475;97.1763;245.0561;43.557;203.5226;204.177;12.9163;334.7387;120.6734;55.3137;14.8983;3.0046;127.84996;71.0927;23.8702;52.9409;35.8378;33.9476;7.3736;5.868;13.1175;7.9218;6.5858;3.6603;3.8842034;4.3827;0.51904523
Background 8;8/25/2020;background;#N/A;8;2.6364927;483.2759;91.1137;248.3386;26.8746;196.2022;185.0178;11.7201;319.6444;97.0207;57.0911;16.5991;0.6192;146.57605;62.8237;31.6521;39.5719;41.343;38.5188;13.5624;8.4313;12.6081;3.038;4.0098;8.4054;3.3339236;1.6928;0.6261124
Background 9;8/25/2020;background;#N/A;9;1.0763744;360.3284;69.0796;216.1254;15.811;142.2794;116.829;11.2208;188.0232;75.7054;55.1406;13.6292;0.355;138.78928;72.0754;22.9861;22.3484;49.9456;12.2971;9.8075;1.6263;4.1789;2.4164;2.9876;2.1841;0.085820325;1.2384;1.4319551
Background 9;8/25/2020;background;#N/A;9;3.8124096;405.3597;67.8632;222.6616;21.317;176.5856;127.4943;6.5385;217.4815;61.3371;40.6001;15.1726;0.4062;127.77914;71.6561;14.669;17.9556;33.9687;18.6236;5.4093;4.0127;2.2363;2.7269;3.7946;1.8216;0.27183276;1.6573;0.58002394
Background 9;8/25/2020;background;#N/A;9;2.1839607;392.6051;65.4921;228.9118;29.5889;150.8628;125.278;6.9611;205.853;75.8756;50.6984;18.1309;0.5641;139.22765;72.8193;26.0428;29.1367;36.3075;14.875;3.7323;4.2034;8.6882;3.1982;2.7341;2.3215;1.0155251;1.6134;2.5450518
Background 9;8/25/2020;background;#N/A;9;2.8514895;359.4786;78.3239;255.112;28.7176;160.9032;129.4552;8.1429;242.718;80.687;53.3909;15.9434;1.3144;138.3356;79.9105;18.7381;26.1881;39.7952;18.9521;9.5208;4.0863;10.1835;5.4798;7.6095;6.3916;0.96619904;1.8795;1.1986592
Background 9;8/25/2020;background;#N/A;9;0.96632117;422.6044;82.5626;257.157;22.2241;180.7654;132.1479;11.2159;290.2069;79.3188;50.8975;10.7133;0.9579;134.20491;427.2607;24.8922;27.3434;49.8683;21.9905;5.5533;5.6975;10.5133;2.0641;1.4106;33.5435;2.0399542;4.5193;1.0120283
Background 9;8/25/2020;background;#N/A;9;2.6383326;396.6079;89.2125;292.3289;30.4054;205.2754;155.4457;7.9902;258.1429;82.497;55.7297;19.4448;2.6328;142.12022;181.7537;20.4852;28.4037;47.7135;28.9158;10.9115;7.6601;11.1267;6.2776;3.8464;15.9407;2.3838916;1.7937;1.4206436
Background 9;8/25/2020;background;#N/A;9;0.079087615;402.3362;86.0224;280.4882;43.9432;229.554;146.664;11.3126;246.3075;92.8707;53.0756;17.4617;2.5955;135.81361;115.102;29.2875;23.5819;58.4006;20.3667;5.662;5.1845;8.5348;1.1568;3.4135;8.5595;2.4943275;2.4017;0.92042255
Background 9;8/25/2020;background;#N/A;9;4.0491414;384.8592;79.9715;334.157;32.2177;276.506;154.7333;16.5202;241.9007;101.9122;62.5967;18.3728;0.5769;123.37438;119.9414;28.0357;35.9056;85.131;24.1434;14.4818;4.9866;10.1151;2.641;1.9911;3.9089;4.4388232;6.3935;0.26605996
Background 9;8/25/2020;background;#N/A;9;0.56924731;431.8355;91.9957;295.5648;35.1292;224.9427;151.2423;16.5206;260.4101;83.0489;57.8336;10.11;1.1054;122.28772;88.38;21.6167;27.1013;74.5321;29.022;8.7326;4.9291;12.4395;5.3811;4.1284;9.5429;1.8878341;4.2397;0.9357217
Background 9;8/25/2020;background;#N/A;9;1.3041565;435.2127;105.212;269.9232;22.4928;204.5526;123.6821;13.0799;256.0801;71.9377;52.7696;16.3092;1.0829;151.46095;64.4453;30.264;30.2509;40.7655;29.486;6.1851;3.3812;11.2826;6.1771;3.4181;5.0254;4.4809213;3.0467;1.6585714
Background 9;8/25/2020;background;#N/A;9;0.67492759;422.5474;94.3646;263.862;28.8498;187.3772;106.1041;10.2132;247.5251;93.5587;53.8148;21.3747;0.3813;143.2888;92.2694;27.5628;20.7999;34.6891;24.5039;7.0691;3.787;6.9823;1.3514;4.2557;7.3114;1.0385637;4.7763;0.045339681
Background 9;8/25/2020;background;#N/A;9;1.7465928;419.3688;98.2007;274.3276;18.3356;199.2115;136.5811;11.6291;256.3904;81.7865;54.5331;15.2293;0.4822;129.6683;86.7935;27.5515;29.3781;41.1177;23.0104;6.9667;8.4518;6.3328;1.7682;0.9724;3.9786;1.4176526;1.4885;0.15349665
Background 9;8/25/2020;background;#N/A;9;2.3499584;412.4881;87.5918;242.0566;21.7254;187.8223;136.1431;11.3815;271.3443;71.2189;59.3843;20.2752;1.3789;142.4203;80.9376;21.6858;26.2826;52.7097;26.3539;8.5318;6.9257;11.94;5.5075;6.2164;8.4673;0.73703396;3.2436;1.2307918
Background 9;8/25/2020;background;#N/A;9;1.8948617;437.6856;84.6802;250.787;24.5159;168.286;106.7496;9.9287;267.8835;82.7921;51.5626;12.9895;2.2316;127.4463;88.2928;24.1515;32.8416;37.5731;25.9899;7.1045;5.4909;10.1438;5.7498;5.9331;5.8993;0.99822736;1.2883;0.4290185
Background 9;8/25/2020;background;#N/A;9;2.543802;393.2516;88.9578;245.017;28.4186;183.3714;134.5837;7.3404;257.6762;78.2697;52.5776;22.1434;2.0024;134.21342;76.1711;29.0421;30.3077;35.8226;25.5191;11.2787;4.2432;9.4881;3.4137;2.8143;4.1984;2.5697606;2.9916;1.9973768
Background 9;8/25/2020;background;#N/A;9;3.1461999;447.9643;83.716;266.4194;25.3059;150.5185;133.9207;6.2786;229.3658;85.4478;51.8351;22.0339;0.9823;126.36409;64.1054;32.256;27.7087;45.6819;16.8378;12.5339;3.3051;12.7197;5.6567;5.057;5.6198;0.95514303;1.1548;0.69644374
Background 9;8/25/2020;background;#N/A;9;1.6400099;458.6956;81.6409;271.3752;32.407;161.0367;110.9542;7.2905;265.547;86.7013;62.0464;13.2886;1.6528;137.85771;62.35;24.6789;27.8837;31.9898;28.1421;10.093;6.09;13.0128;5.5622;2.1604;4.5152;3.5093551;2.9188;0.69463599
Background 10;8/25/2020;background;#N/A;10;2.6665983;342.684;66.1173;171.2768;26.5149;136.1178;92.2294;3.8323;121.1283;56.3278;39.345;11.15;1.0439;115.84042;51.2722;23.0355;7.9176;30.5054;11.1934;5.1669;4.3595;7.6272;2.5629;4.8771;7.5307;1.5103523;2.1289;2.3482046
Background 10;8/25/2020;background;#N/A;10;1.7552676;356.529;84.5182;196.3818;18.3142;184.7272;140.4122;5.2305;138.2543;57.2293;36.724;10.4069;0.5981;132.18118;91.5823;20.5805;12.1341;40.0886;11.7955;3.4506;2.1013;5.8293;2.1583;3.4387;7.2235;1.9722939;4.5216;0.82592034
Background 10;8/25/2020;background;#N/A;10;0.78904659;343.294;77.045;208.4615;21.4696;177.567;122.8005;7.9491;115.8022;64.9189;57.6438;8.6195;1.8428;113.01769;136.9367;17.9052;15.1571;39.9793;26.7114;4.8737;1.2618;6.3194;2.4174;1.7689;4.8921;2.0136356;7.198;0.36342791
Background 10;8/25/2020;background;#N/A;10;2.0220151;373.5128;69.9923;218.6902;17.75;176.2486;127.3308;7.2052;120.4516;63.4181;48.1605;10.5589;1.0598;105.96927;122.9862;20.168;15.2468;42.603;24.6749;6.5223;2.6788;11.9102;6.076;3.2754;3.6511;1.3218833;3.107;0.12339164
Background 10;8/25/2020;background;#N/A;10;0.032718252;351.3446;70.0409;188.758;23.6368;143.935;107.5044;9.5452;119.8043;58.0729;57.4024;13.0582;1.0703;130.76393;65.6991;22.6755;12.4044;30.6299;37.2883;8.9505;4.0669;6.7845;4.5575;3.0711;3.9863;4.3864193;2.3033;0.31291872
Background 10;8/25/2020;background;#N/A;10;3.1968079;324.878;78.9867;196.2307;23.3971;149.0314;109.7604;8.5007;126.2823;56.7666;52.9024;11.9625;3.9603;114.16668;62.4401;12.8395;17.2238;34.3582;21.3479;7.1592;3.2191;6.2363;2.6615;6.6936;4.359;1.296141;2.3914;0.035683081
Background 10;8/25/2020;background;#N/A;10;1.5318768;349.9479;63.2998;173.1383;24.1786;132.6106;98.042;8.8796;138.1454;67.1866;48.1258;12.4947;0.6425;115.71676;52.4113;18.7831;13.8442;27.1211;18.536;9.2643;3.5273;6.0605;1.9682;2.6761;8.1114;0.63969326;5.2493;0.62582362
Background 10;8/25/2020;background;#N/A;10;0.4182021;333.501;63.7203;191.269;23.4093;152.774;106.9185;7.3281;132.1329;67.4516;53.2357;18.4333;3.5975;118.07832;63.3525;17.648;14.6187;20.5739;14.162;6.8317;2.5978;4.8471;2.6632;1.7383;6.6948;4.247921;6.1248;1.0887188
Background 10;8/25/2020;background;#N/A;10;4.9518185;360.2796;83.3554;237.4711;13.8675;176.6882;137.2664;7.5268;133.1155;62.3221;54.9146;10.1569;1.9634;127.80183;99.2126;20.5107;10.6791;20.4916;18.1346;4.1207;8.3218;8.9005;2.8218;2.5778;10.837;1.3805017;2.2648;0.30414894
Background 10;8/25/2020;background;#N/A;10;2.628952;372.826;90.6027;275.593;21.0737;181.319;158.1899;6.9652;150.3866;73.2384;49.7714;13.6395;1.9242;125.07906;109.0074;20.7308;14.2492;33.9098;21.9054;10.8039;3.2591;6.8642;2.1734;1.7597;5.7896;0.48301426;1.4765;1.6132523
Background 10;8/25/2020;background;#N/A;10;0.93321252;345.1559;67.4563;270.6082;18.7484;194.1512;162.066;11.381;135.0901;81.0633;67.8301;15.8361;1.3214;112.42194;98.0416;29.2255;17.5168;38.967;26.1097;10.8944;3.8886;9.3423;4.4226;7.7544;7.4797;1.237159;4.6801;0.003511718
Background 10;8/25/2020;background;#N/A;10;1.1403859;423.3536;115.1715;376.5372;26.4945;235.4915;275.049;15.0164;174.2707;88.6354;63.4145;20.1632;0.4607;152.74471;171.899;24.2344;21.3841;61.9225;23.8147;10.1648;4.4001;11.1223;4.8945;10.7934;7.5059;1.5452424;1.2583;1.6077883
Background 10;8/25/2020;background;#N/A;10;0.78816032;399.7961;103.3932;336.7496;40.2021;200.3302;230.3497;9.4506;133.0062;85.1639;61.3835;18.3804;2.3642;131.78838;140.9909;19.1256;14.1516;30.3098;26.904;14.4607;4.2342;10.5553;6.7975;3.756;7.6462;3.2494769;3.2915;3.2087042
Background 10;8/25/2020;background;#N/A;10;2.2663052;381.2798;108.9657;298.6696;25.6957;204.561;170.653;14.1967;153.4374;89.5836;72.384;23.0192;1.2893;138.37094;103.6932;20.7247;14.1772;51.449;29.5765;12.5469;5.3154;7.9523;4.263;3.2046;4.4427;1.1041946;4.443;2.0781944
Background 10;8/25/2020;background;#N/A;10;1.3974434;423.3767;106.9087;289.1594;30.0531;293.2167;170.2875;11.9545;182.4398;100.1553;58.3857;15.4495;2.5493;127.36481;113.3033;17.7559;21.0853;70.8304;15.4901;12.9014;4.2938;12.8284;1.9894;3.8878;14.6413;2.3389626;3.3696;0.98368192
Background 10;8/25/2020;background;#N/A;10;2.6568699;407.3868;103.0541;272.0734;32.0091;252.0889;145.7358;8.072;181.6384;79.04;56.0753;12.3204;2.6244;139.30237;244.3575;19.7678;17.1889;70.7623;32.5375;10.7059;7.3977;9.3457;4.4114;2.1916;15.1367;2.7420645;1.5581;0.1968835
Background 10;8/25/2020;background;#N/A;10;0.5947358;396.748;97.376;273.7694;31.6744;332.3674;173.7911;14.0058;171.2884;92.1971;70.6558;23.6452;2.5251;126.08836;134.4108;17.3102;15.1103;62.9697;30.5487;12.7743;3.6837;10.4555;2.3636;2.6719;8.4866;2.3921688;2.5562;0.000028
Background 10;8/25/2020;background;#N/A;10;1.5630043;375.695;103.2627;300.9482;34.6104;302.0377;187.2228;15.0477;160.818;100.8302;59.7626;22.4407;1.4598;110.68757;139.9518;30.2389;14.5164;74.1264;28.0739;13.0742;2.1012;7.329;7.647;1.8261;3.8392;2.5465817;2.67;0.2677744
Background 10;8/25/2020;background;#N/A;10;1.5597333;249.1985;44.4198;56.1371;15.3356;212.8617;127.672;7.6737;64.013;51.9918;34.7738;3.7459;0.0589;88.100723;52.3685;14.6308;5.9277;77.1;15.1469;4.1298;2.4358;6.3527;2.0749;2.0905;2.3821;1.6218375;0.9696;2.1753364
Background 10;8/25/2020;background;#N/A;10;1.8187529;209.9258;36.5919;25.3369;5.9397;163.7121;108.602;0.504;17.9037;44.1361;40.4186;5.7071;0.1896;84.355408;25.2618;9.01;3.9351;50.4442;7.2757;3.9733;0.1766;2.149;1.9649;5.4754;2.2561;0.16100694;1.8709;0.13494451
Background 10;8/25/2020;background;#N/A;10;3.3078482;229.8675;39.0459;21.4632;2.9416;156.0573;102.6473;5.0287;24.138;35.9852;28.6855;4.0093;0.3111;90.813438;19.7308;13.2137;4.6069;76.4183;5.5135;2.4195;1.364;6.0876;1.0809;0.6585;1.4879;0.17026462;0.2857;0
Background 11;8/25/2020;background;#N/A;11;2.4655151;223.8309;38.7837;33.7195;4.3394;180.1289;99.9208;2.9943;33.9562;52.7076;33.0559;3.6167;1.2397;109.19151;25.3907;8.3345;6.4866;70.2287;8.2776;3.7478;0.6986;6.7842;0.2211;2.1083;3.3001;1.3159914;2.6451;0
Background 11;8/25/2020;background;#N/A;11;0.010193422;256.1074;34.7349;27.7007;3.2917;170.3554;109.035;3.7533;25.8952;35.1437;42.0503;4.3398;0.6149;102.39082;12.3313;11.3937;6.1578;66.2016;7.5776;0.87;1.2008;6.2673;0.9439;0.7905;2.5101;2.2014766;0.1374;0.21091184
Background 11;8/25/2020;background;#N/A;11;0.6968841;213.3612;34.4043;25.434;2.354;162.6827;102.0252;1.74;17.3996;48.6161;32.8195;3.041;1.8348;106.36637;12.3303;10.9478;4.2378;74.1941;6.5473;4.8621;0.2403;3.7828;0.4954;3.065;0.8785;0.3333168;1.7181;0
Background 11;8/25/2020;background;#N/A;11;0.92786598;250.2496;34.0788;29.4808;2.7264;161.5028;106.5377;0.5776;19.1802;38.8437;34.4988;3.4522;0.5056;97.76754;23.4889;18.0263;1.652;63.7959;3.5286;0.8914;2.3723;4.5893;3.0837;3.0084;0.4962;0.39044848;0;0
Background 11;8/25/2020;background;#N/A;11;3.716403;228.0478;45.688;21.1801;2.901;159.2275;104.1097;1.493;21.6318;44.6645;37.3542;2.0032;1.0461;97.46476;13.0091;11.1564;5.7352;77.6458;3.2196;3.3131;2.4463;1.741;1.5346;2.0133;2.9833;0.11280873;1.5998;0.13875596
Background 11;8/25/2020;background;#N/A;11;0;230.0072;35.2668;19.656;5.0158;160.9978;102.0212;1.351;20.9583;40.8528;28.7099;3.4627;0.0752;91.877342;14.6346;9.4907;2.8346;85.4365;3.9029;0.8185;0.9317;2.3384;1.0662;2.0655;0.0995;0;0.1385;0.15804549
Background 11;8/25/2020;background;#N/A;11;0;210.0447;32.6683;22.1901;2.5073;177.3634;101.732;3.182;23.3147;43.266;32.9508;1.1671;0.5497;85.519753;16.852;10.5611;2.4652;82.8678;3.1559;1.2712;0.4485;4.4962;0.9103;1.2785;2.3348;0.062793568;1.731;1.1116332
Background 11;8/25/2020;background;#N/A;11;1.9665571;224.647;42.035;25.5525;3.7404;167.3628;106.1896;2.9682;23.1496;39.9172;25.0987;4.3785;0.712;85.913658;20.5753;8.1369;9.6456;70.6627;4.5223;1.6111;1.2339;5.348;1.148;3.1698;0.7537;0.50780463;0.0773;0
Background 11;8/25/2020;background;#N/A;11;1.7762939;223.4504;44.5074;19.9522;2.9226;170.359;111.3249;2.2446;19.2245;39.2017;33.0177;6.217;0.1142;79.107277;26.3591;8.0591;3.6969;64.6652;3.9252;0.1323;1.2858;3.6754;0.2198;2.366;0.3997;0.13915181;0.0004;0.86005014
Background 11;8/25/2020;background;#N/A;11;0.96727633;214.9452;39.3861;22.6636;1.3734;175.8368;97.854;2.3249;17.1717;44.5278;29.8963;7.8924;0.4635;90.935867;15.0724;8.6857;2.8129;68.7821;5.4614;1.2714;0.9688;4.3998;0.5696;5.2164;1.1931;0.53490251;0.5821;0.31446892
Background 11;8/25/2020;background;#N/A;11;1.4216783;206.3833;41.6322;20.5602;0.4897;168.7888;108.2992;2.3305;18.5251;36.3829;29.6317;3.9124;0.164;87.276176;17.9606;11.0348;7.4743;75.1518;6.6915;0.1952;4.014;2.2948;0.0353;1.4563;0.9704;0;0.5687;0
Background 11;8/25/2020;background;#N/A;11;1.6006145;224.1575;38.4952;16.2155;3.1903;159.9344;112.3962;1.1998;20.7896;38.3213;35.4342;4.5052;0.6599;84.528931;15.6758;2.586;0.1617;82.7241;9.6876;1.2204;2.186;6.8601;1.2321;1.5155;3.3084;0.90177917;0.1876;0
Background 11;8/25/2020;background;#N/A;11;1.3072648;197.6212;44.2261;22.2303;7.3404;166.6442;100.2972;0.8735;17.3911;29.0127;36.5418;2.3656;0.2957;99.10199;23.3062;10.5247;2.6916;82.475;3.5262;1.4178;3.8516;3.6369;1.8648;3.1878;1.9262;0.21832691;0.9215;0.33768964
Background 11;8/25/2020;background;#N/A;11;0.72669488;215.0783;37.3918;19.815;2.6925;151.7869;114.3104;1.5122;25.1058;35.6094;32.1348;2.0203;0.9518;94.327309;14.5502;12.6211;2.6337;78.2255;1.4163;1.0354;2.7505;1.3336;0.6016;2.1475;0.606;0.021059755;2.3888;0
Background 11;8/25/2020;background;#N/A;11;5.2226686;224.8688;37.0504;17.3462;1.6517;164.0595;110.3506;0.9543;19.1386;38.8058;35.0261;6.0965;0.4487;100.64752;22.0961;7.0923;1.5695;76.5897;2.2049;0.3146;0.1978;3.1189;0.6049;5.2327;1.6737;0.02199818;1.9244;0.62203503
Background 11;8/25/2020;background;#N/A;11;1.4598659;205.9977;33.1375;19.8235;0.4506;171.1329;96.9297;0.2568;20.0114;36.723;29.4124;4.2599;0.657;93.697136;19.7964;12.436;3.1689;64.3657;3.6783;3.3022;0.1941;4.0727;0.9344;2.1281;0.5727;0.36785746;0.0744;0.55273283
Background 11;8/25/2020;background;#N/A;11;4.0185933;218.2809;47.7854;24.1261;3.7484;174.2265;105.1704;2.9805;20.9287;37.5114;28.7699;0.7656;0.1895;75.682343;28.094;13.0337;0.6701;73.1444;4.8251;1.453;1.7099;3.8011;1.0882;0.5948;1.3022;0;0.141;0
Background 11;8/25/2020;background;#N/A;11;2.5501163;210.8979;42.3737;20.1681;0.238;164.647;101.3911;1.4671;22.3564;51.9507;31.1358;2.6791;0.6644;92.106712;21.2499;4.8476;2.9725;89.8949;3.0624;1.3387;2.092;2.8894;0.9383;0.3943;0.4162;0;0.6659;0.49833533
Background 11;8/25/2020;background;#N/A;11;2.3789394;223.4948;46.5498;17.4164;4.2477;166.2752;119.6811;1.723;16.111;34.417;29.5599;1.8726;1.0319;91.394966;22.8119;9.3333;6.2508;80.5349;7.5224;0.986;0.1637;4.0678;1.825;5.7528;1.4018;0.035346493;0.2934;0.44296467
Background 11;8/25/2020;background;#N/A;11;1.527699;209.7729;29.209;16.4564;3.3721;144.7557;100.0114;0.0122;17.3687;33.4817;39.0228;1.8624;1.0155;92.001297;17.0353;5.382;2.4006;65.0593;8.9105;0.7861;0.2807;4.3307;0.5417;2.7137;0.0717;0.000298854;1.7375;0.005066251
Background 11;8/25/2020;background;#N/A;11;0.003369293;201.0885;42.0981;18.4274;4.5842;148.4022;106.2285;1.6707;11.7737;34.0777;30.7853;3.3119;0.2523;100.62035;18.2526;7.5111;6.0604;65.5675;0.6136;0.0522;1.4589;4.5463;3.896;2.3217;0.7133;0.008294206;0;0
Background 11;8/25/2020;background;#N/A;11;1.8569283;212.2398;30.1895;21.4981;3.3755;189.9244;102.8535;0.0997;19.8282;30.934;30.9472;4.8965;0.2242;88.713303;20.3115;11.1942;5.2623;65.7932;1.6304;2.1855;0.4685;1.4889;2.2749;3.578;2.3296;0.66948444;0.5952;0.82500017
Background 11;8/25/2020;background;#N/A;11;5.5456519;215.1786;37.297;21.3496;2.7065;145.6916;107.8267;1.9183;16.9297;40.7649;27.2585;4.0802;0.0853;97.602013;20.0201;6.6639;2.0856;62.5018;2.9903;0.7892;0.1971;5.1547;1.7964;2.3157;1.0966;0.3470107;0.3293;0.052064206
Background 11;8/25/2020;background;#N/A;11;0.36167789;203.9651;43.438;17.9914;5.5747;154.18;105.3571;2.2676;19.0486;37.0851;30.6248;1.6511;0.0765;91.063972;18.1219;10.147;4.81;60.4583;2.0223;0.5876;2.0205;5.48;1.247;1.2778;2.3512;0.45148364;1.4426;0
Background 11;8/25/2020;background;#N/A;11;2.1555693;203.2138;40.0974;14.3675;4.2926;175.5528;115.3552;5.2954;11.4051;45.6949;35.9219;8.6117;0.4753;84.500259;17.0188;7.7677;3.3983;69.9192;1.1409;0.721;0.0362;1.4085;2.427;3.9847;0.4629;0.003381311;0.5612;0.8097983
Background 12;8/25/2020;background;#N/A;12;3.1688042;344.682;112.5466;345.5109;26.621;304.4394;192.152;15.3667;171.7834;85.1174;83.0981;11.5336;0.9322;124.62911;92.3947;16.3793;15.2699;63.472;26.5696;6.8138;1.9516;9.3841;1.6355;3.8625;3.977;2.1327674;4.9042;0.11173048
Background 12;8/25/2020;background;#N/A;12;2.9520974;379.6849;113.109;380.3394;25.3086;442.9142;235.3379;11.7905;200.2286;79.9538;75.734;11.1893;1.2212;147.75069;148.0379;29.0333;12.0497;64.8422;26.619;5.232;2.7696;7.0428;5.8988;5.1467;2.42;1.039609;3.9734;1.4429122
Background 12;8/25/2020;background;#N/A;12;1.1525496;327.9525;116.818;272.8399;19.9807;360.7813;182.4975;12.4228;202.7761;92.025;83.1729;13.5925;1.5973;141.21649;90.0416;22.1834;19.5569;56.5045;21.1397;4.0959;4.5739;7.7479;8.1409;4.3706;2.8596;0.77050531;4.3996;0.54004729
Background 12;8/25/2020;background;#N/A;12;4.9470415;356.7175;110.7644;276.7314;26.7403;327.7579;167.2941;7.3514;217.8026;79.9439;62.876;16.8293;4.0248;119.84758;85.4296;22.5245;14.6835;58.861;16.2688;4.5563;3.8284;6.7157;7.1121;1.7877;4.9572;2.938683;4.3657;0.84892869
Background 12;8/25/2020;background;#N/A;12;2.7841647;383.5371;94.17;282.9875;20.2316;356.736;156.8567;10.2768;196.6458;89.7452;89.5015;14.1485;0.6337;142.09943;83.7628;19.4732;22.3832;69.618;25.817;9.4494;5.5932;7.3383;3.9125;3.4282;5.0831;2.7092798;3.9515;0
Background 12;8/25/2020;background;#N/A;12;4.5727305;365.0062;106.3117;285.8755;26.9926;314.3004;150.8321;13.0615;198.5351;68.712;82.6342;13.304;3.182;134.10103;92.266;22.1085;17.1571;62.5667;21.048;4.8541;6.4709;6.7176;2.4817;4.8461;5.6531;0.64112067;4.1423;0.4866114
Background 12;8/25/2020;background;#N/A;12;1.7909924;355.8649;93.5313;298.111;25.0565;339.4455;180.3535;9.1168;207.755;69.382;62.6554;15.9479;2.274;125.67202;107.1761;26.5369;19.0122;41.3007;23.9836;9.1133;5.3558;9.266;3.6294;1.901;3.6808;2.3686118;5.2466;0.70022494
Background 12;8/25/2020;background;#N/A;12;2.5286195;361.9799;75.8822;233.5725;27.0676;288.1239;126.1727;12.1233;171.8657;71.8873;68.6435;17.8798;1.9627;128.53047;66.3394;17.4937;12.7038;39.5078;21.3648;8.891;6.2158;8.988;2.4324;7.7696;5.2606;1.3973989;5.1485;0.41826233
