Sample_ID,treatment,'CH5O+','C4H6H+','C3H5O+','C5H7+','C5H9+','C5H11+','C6H9+','C6H11+','C6H13+','C5H11O+','C7H9+','C7H11+','C7H13+','C6H11O+','C6H13O+','C6H15O+','C7H7O+','C8H13+','C8H15+','C7H14OH+','C8H8N+','C8H17O+','C10H15+','C10H17+','C8H15O2+','C9H19O+','C8H17O2+','C11H17+','C9H11O2+','C11H19+','C8H10NO2+','C10H21O+','C10H13O2+','C12H21O2+','C15H25+','C16H27+'
A_C_1,Control,5.137888,14151.232,1092.3375,130.66393,327.72186,81.390053,273.35837,231.49104,35.776859,133.755,182.74461,195.20848,109.05459,125.53654,50.75386,5.6101346,211.6573,277.46625,59.078831,47.805515,836.67261,22.481253,91.365189,35.029408,61.608646,13.452888,17.333038,16.542706,29.211748,14.161246,50.086414,19.321045,23.66976,2.5468869,54.367813,7.9874511
A_C_1,Control,16.984976,13425.42,1104.0326,121.89462,255.3638,90.424553,226.26331,232.19325,41.212334,167.66292,207.07912,191.63577,76.717728,134.73943,72.961205,1.5633132,195.12364,321.59738,48.637268,46.729214,796.32709,20.196115,76.380882,31.014696,51.410049,26.967356,10.695989,24.707624,35.209911,15.060963,36.908749,18.527222,15.160131,8.8486958,40.864872,1.8608268
A_C_1,Control,17.90904,13682.662,1060.7858,156.09381,288.33447,72.264839,246.45082,246.84821,39.636528,178.60831,167.58272,221.44855,82.281914,135.77278,65.612045,3.2751374,216.16608,275.50516,63.139214,33.797344,742.8537,34.851803,73.187973,30.794952,41.383522,20.117643,18.048773,28.229242,19.408352,11.549845,40.205009,16.454159,21.913883,7.5203319,50.395008,5.1431527
A_C_1,Control,19.863142,12805.2,1054.5454,147.57219,266.08487,68.416962,224.55341,229.25294,32.179504,174.87994,191.52567,219.93987,95.375809,104.36359,72.256668,3.382071,204.83061,281.97272,47.317589,51.438267,724.16644,26.22835,63.054585,26.358517,76.572113,10.651623,15.113495,17.325235,19.915812,14.211027,28.052,17.059902,15.54957,15.575018,45.500927,3.5859849
A_C_1,Control,15.783786,15210.749,1061.3899,145.50771,299.41003,57.910614,198.18504,238.25577,21.003141,159.47316,175.914,200.81383,85.661911,117.01758,95.565605,2.754518,226.33629,319.82474,56.539219,50.530647,737.90222,32.796375,71.362686,29.742825,55.689274,23.062504,9.4948912,40.800014,42.342583,10.863814,37.013512,21.497318,17.491348,4.6782951,42.257492,4.4003801
A_C_1,Control,18.046881,14805.137,1016.7983,132.52962,277.92343,57.607674,248.49481,262.82526,27.250837,170.22713,183.86734,211.17203,88.655197,117.66508,80.715187,3.5751679,202.58647,324.08932,47.795944,34.429016,769.04584,21.554373,65.192902,45.327187,50.37524,27.30987,18.088741,25.91766,23.359634,20.563158,27.184807,23.225168,15.528625,9.3279905,43.008911,2.7754171
A_C_1,Control,25.13356,15303.152,1020.5294,121.35994,297.61868,59.070011,240.00926,261.37265,26.833035,157.13152,188.2605,209.49921,79.314919,135.13927,72.694824,6.939301,226.2458,286.72534,43.714153,35.628616,730.3501,24.745941,54.092403,33.408905,52.499519,12.557191,20.252243,19.715864,29.321611,16.077742,47.006248,24.907278,10.175115,9.4378185,37.582096,2.9706445
A_C_1,Control,10.324712,14940.251,1031.6188,130.13934,283.66937,61.820744,204.06239,234.59946,37.33411,158.28575,177.79138,191.36737,109.06431,114.07093,93.604729,4.6415424,224.7749,282.85657,54.825062,45.15937,740.24164,28.570793,46.609188,31.983335,38.127651,21.938486,16.922283,24.469273,26.333347,13.578568,21.76001,27.410221,17.839273,15.942214,44.202755,0
A_C_1,Control,9.1529636,14493.736,988.81854,142.41357,282.42322,79.366737,236.13354,251.41544,33.114948,142.89317,171.93074,161.90079,99.425201,138.6886,68.55658,3.0317762,224.9584,283.53812,51.089832,34.639946,647.27502,27.26185,46.141273,36.497913,50.793503,12.279264,15.157213,34.49815,22.718351,7.7878313,46.225842,19.899843,15.274793,9.671299,35.97057,10.202543
A_C_1,Control,10.911608,13728.766,1004.588,134.4753,264.43396,73.579277,244.57272,201.03918,25.180523,156.91591,195.73289,152.71466,96.229881,136.93102,75.33786,3.3152907,191.7859,284.51752,57.673985,40.946865,701.25751,38.13081,44.603321,44.931713,45.399857,21.55864,10.226829,24.922129,40.4911,17.897585,42.404465,13.885859,9.9363079,5.1861668,34.234802,0.22867763
