treatment,Ch11.142,Ch11.143,Ch11.144,Ch11.145,Ch11.146,Ch11.147,Ch11.148,Ch11.149,Ch11.150,Ch12.141.9,Ch12.142.9,Ch12.143.9,Ch12.144.9,Ch12.146,Ch12.147,Ch12.148,Ch12.149,Ch12.150,Ch13.141.9,Ch13.142.9,Ch13.143.9,Ch13.144.9,Ch13.146,Ch13.147,Ch13.148,Ch13.149,Ch13.150,Ch14.141.9,Ch14.142.9,Ch14.143.9,Ch14.144.9,Ch14.146,Ch14.147,Ch14.148,Ch14.149,Ch14.150,Ch21.141.9,Ch21.142.9,Ch21.143.9,Ch21.144.9,Ch21.146,Ch21.147,Ch21.148,Ch21.149,Ch21.150,Ch23.141.9,Ch23.142.9,Ch23.143.9,Ch23.144.9,Ch23.146,Ch23.147,Ch23.148,Ch23.149,Ch23.150,Ch24.141.9,Ch24.142.9,Ch24.143.9,Ch24.144.9,Ch24.146,Ch24.147,Ch24.148,Ch24.149,Ch24.150,Ch31.141.9,Ch31.142.9,Ch31.143.9,Ch31.144.9,Ch31.146,Ch31.147,Ch31.148,Ch31.149,Ch31.150,Ch32.141.9,Ch32.142.9,Ch32.143.9,Ch32.144.9,Ch32.146,Ch32.147,Ch32.148,Ch32.149,Ch32.150,Ch33.141.9,Ch33.142.9,Ch33.143.9,Ch33.144.9,Ch33.146,Ch33.147,Ch33.148,Ch33.149
Control,-31.3415,-31.3386,-31.335,-31.3329,-31.3323,-31.3322,-31.3308,-31.3312,43.0817,43.1078,43.1278,43.1392,43.15,43.1607,43.1649,43.1721,43.1775,42.4432,42.5261,42.5785,42.616,42.6425,42.6621,42.6779,42.6902,42.7005,23.9689,23.9727,23.9744,23.9756,23.9763,23.9744,23.9767,23.9756,23.9759,20.0391,20.0582,20.0714,20.0766,20.081,20.0878,20.0927,20.093,20.0959,30.819,30.8305,30.8356,30.8373,30.8392,30.8411,30.8413,30.8414,30.8405,-28.6541,-28.4927,-28.3774,-28.2968,-28.2338,-28.1842,-28.1397,-28.0999,-28.0714,6.5116,8.2446,9.1404,9.663,9.9677,10.1561,10.2799,10.3673,10.4278,32.3475,32.5101,32.6037,32.6608,32.7012,32.7276,32.7493,32.7643,32.776,22.0274,22.4352,22.7121,22.9085,23.0415,23.1357,23.1987,23.2442,23.2763
Control,-31.6571,-31.6556,-31.6533,-31.6509,-31.6502,-31.6503,-31.649,-31.6489,43.0816,43.0994,43.1128,43.1225,43.1304,43.136,43.1407,43.1429,43.1434,42.5515,42.6061,42.6406,42.6682,42.6864,42.7,42.7094,42.7164,42.7203,23.5991,23.6015,23.6039,23.6063,23.6077,23.6091,23.6087,23.6088,23.6061,19.6028,19.6202,19.6295,19.6326,19.638,19.6393,19.6444,19.6439,19.6443,30.7246,30.733,30.738,30.7403,30.7427,30.7425,30.7428,30.7413,30.7403,-28.686,-28.5758,-28.5111,-28.4564,-28.4108,-28.3768,-28.3523,-28.3351,-28.3132,8.5228,9.8685,10.5284,10.9613,11.2026,11.3422,11.4265,11.4784,11.5279,32.1475,32.264,32.3297,32.375,32.404,32.4242,32.4369,32.445,32.4503,21.6685,21.8846,22.0454,22.1649,22.2536,22.3127,22.3538,22.3836,22.4045
SE,-32.2221,-32.2191,-32.2168,-32.2149,-32.2139,-32.2122,-32.2111,-32.2118,43.7459,43.7753,43.7993,43.8154,43.8273,43.8384,43.8485,43.8575,43.8627,42.0203,42.1179,42.1785,42.2226,42.2565,42.2818,42.3026,42.3194,42.3322,22.9806,22.9869,22.9897,22.9911,22.9918,22.9929,22.9933,22.9943,22.9947,18.8488,18.8669,18.884,18.8931,18.8996,18.901,18.9063,18.9127,18.9133,30.5801,30.5932,30.6022,30.6023,30.6026,30.6025,30.6048,30.6092,30.6072,-31.7019,-31.5198,-31.3977,-31.3085,-31.234,-31.1714,-31.1226,-31.0838,-31.0474,-0.0707,1.9514,2.9701,3.6318,4.0628,4.3409,4.5345,4.6744,4.7835,30.2137,30.4191,30.5283,30.6037,30.6558,30.6933,30.723,30.746,30.7631,33.337,33.8939,34.2363,34.4685,34.6277,34.7348,34.8113,34.8654,34.9089
SE,-32.0011,-31.9968,-31.9942,-31.9923,-31.9913,-31.9913,-31.991,-31.9916,43.6964,43.7331,43.7583,43.7761,43.7892,43.8008,43.8109,43.8206,43.8295,41.9015,42.0144,42.0827,42.1319,42.17,42.199,42.2191,42.2371,42.253,23.2443,23.2502,23.2527,23.2544,23.257,23.2588,23.2575,23.2567,23.2574,19.1626,19.1893,19.2026,19.216,19.2265,19.2295,19.2326,19.2352,19.2368,30.6355,30.651,30.6582,30.6639,30.6657,30.6693,30.6669,30.6665,30.668,-31.6996,-31.5043,-31.3657,-31.2704,-31.192,-31.1286,-31.0776,-31.0324,-30.9933,-2.1588,0.0047,1.0953,1.7868,2.2291,2.5116,2.696,2.8461,2.9678,30.2634,30.4938,30.6167,30.6987,30.7562,30.7973,30.8241,30.8463,30.8685,32.5944,33.209,33.5844,33.8335,34.0012,34.1156,34.1934,34.2492,34.2948
SE,-32.936,-32.9329,-32.9313,-32.9291,-32.929,-32.9293,-32.9265,-32.9248,44.171,44.1652,44.1609,44.1628,44.1604,44.1614,44.1586,44.1584,44.1605,43.1325,43.1131,43.1053,43.1075,43.1061,43.1108,43.1084,43.11,43.1116,22.0524,22.0506,22.0536,22.0561,22.0554,22.0589,22.0572,22.0612,22.0614,17.8137,17.8081,17.8059,17.8095,17.807,17.8117,17.8102,17.8103,17.8137,30.374,30.37,30.3666,30.3696,30.3661,30.3696,30.3686,30.3699,30.3748,-29.4625,-29.5022,-29.5243,-29.5222,-29.5205,-29.5232,-29.5286,-29.5166,-29.521,16.4982,16.0424,15.836,15.9855,16.0595,16.1683,16.208,16.2037,16.2632,31.5191,31.4801,31.4625,31.4722,31.4754,31.4841,31.4825,31.4868,31.4916,40.1903,40.0502,39.9604,39.9461,39.9457,39.9558,39.9611,39.964,39.9698
SE,-31.6331,-31.6302,-31.6275,-31.6266,-31.6252,-31.6226,-31.6231,-31.6245,43.4842,43.5141,43.5308,43.5453,43.5581,43.569,43.5807,43.5891,43.5974,41.4,41.4897,41.5439,41.5845,41.6183,41.6436,41.6654,41.6834,41.6982,23.6846,23.6897,23.6899,23.6907,23.6912,23.6914,23.6923,23.6939,23.6957,19.6876,19.7137,19.7232,19.7286,19.7325,19.7374,19.7406,19.7451,19.7492,30.696,30.705,30.7127,30.7128,30.7161,30.7151,30.7151,30.7182,30.7176,-32.1466,-31.9894,-31.8888,-31.8149,-31.7509,-31.6966,-31.6531,-31.6155,-31.5837,-8.7632,-7.3721,-6.6342,-6.1183,-5.7499,-5.5043,-5.3351,-5.213,-5.1217,29.9004,30.0738,30.1658,30.2332,30.2838,30.3214,30.3501,30.3741,30.3921,30.7883,31.2192,31.4854,31.6709,31.8026,31.897,31.9644,32.0112,32.047
SE,-34.1666,-34.1575,-34.1517,-34.1486,-34.1459,-34.1432,-34.1432,-34.1408,44.3472,44.384,44.4096,44.4298,44.447,44.462,44.47,44.4802,44.4898,43.2776,43.3871,43.4566,43.5094,43.5497,43.5808,43.6046,43.6244,43.6415,20.3859,20.3963,20.4021,20.4058,20.4097,20.4111,20.4124,20.4131,20.4139,16.003,16.0362,16.0579,16.0809,16.0947,16.102,16.1088,16.1175,16.1251,29.957,29.9757,29.99,29.9966,30.0019,30.0061,30.0082,30.0083,30.009,-28.7556,-28.5136,-28.3305,-28.1989,-28.0843,-27.9958,-27.9146,-27.8513,-27.7932,30.9148,34.7314,36.6797,37.9198,38.7423,39.2833,39.6354,39.8683,40.016,30.7945,31.054,31.2113,31.3231,31.4049,31.4669,31.5118,31.5465,31.5747,43.9302,44.6843,45.2595,45.7051,46.0516,46.3225,46.5367,46.7069,46.8456
SE,-32.7949,-32.7861,-32.783,-32.7796,-32.7786,-32.7781,-32.7767,-32.7769,43.9467,43.993,44.0242,44.0469,44.0691,44.081,44.0974,44.1105,44.119,42.6852,42.8316,42.9229,42.9853,43.038,43.0718,43.1022,43.1258,43.1409,22.2541,22.2592,22.2659,22.2662,22.2689,22.2683,22.2706,22.273,22.2705,18.0256,18.0613,18.0858,18.0982,18.1175,18.1183,18.128,18.1332,18.1374,30.425,30.4461,30.4577,30.4629,30.4702,30.4686,30.4725,30.4746,30.4716,-30.4521,-30.1516,-29.9642,-29.8199,-29.7121,-29.6248,-29.5515,-29.4806,-29.4428,10.4803,14.4562,16.378,17.5895,18.3564,18.8426,19.1992,19.3953,19.5568,30.8666,31.1865,31.3578,31.4708,31.5535,31.6036,31.6504,31.6796,31.7004,36.2154,37.1879,37.8007,38.2093,38.4923,38.6861,38.8273,38.9285,39.0042
SE,-32.7759,-32.7753,-32.7718,-32.7707,-32.7695,-32.7709,-32.7696,-32.7691,44.1688,44.1672,44.1672,44.1697,44.1745,44.1758,44.1768,44.1761,44.1787,43.1389,43.1421,43.1456,43.1551,43.1633,43.1687,43.1705,43.1719,43.1742,22.2448,22.2445,22.2453,22.2482,22.2505,22.2514,22.2505,22.2511,22.2535,18.0267,18.0293,18.0294,18.035,18.0407,18.0418,18.0429,18.0422,18.0437,30.4209,30.4233,30.4216,30.4235,30.424,30.4272,30.4278,30.4271,30.4267,-29.3701,-29.354,-29.3488,-29.3296,-29.3186,-29.3042,-29.3005,-29.2934,-29.2831,15.7618,15.997,16.1158,16.3354,16.4836,16.5905,16.6505,16.6724,16.682,31.662,31.6778,31.6863,31.7047,31.7209,31.7324,31.7371,31.7404,31.7442,39.6637,39.6915,39.7108,39.7508,39.7877,39.8149,39.8324,39.8442,39.8514
SE,-33.9287,-33.9179,-33.9119,-33.9084,-33.9058,-33.9052,-33.9031,-33.8999,44.2628,44.302,44.3324,44.3549,44.3772,44.3915,44.404,44.4158,44.4279,43.1577,43.2836,43.3653,43.4265,43.4741,43.5078,43.534,43.5573,43.5784,20.7202,20.7311,20.7371,20.7426,20.7444,20.7457,20.7469,20.7495,20.7522,16.3586,16.395,16.4183,16.4374,16.4511,16.4628,16.4717,16.4784,16.4825,30.0612,30.0829,30.0968,30.1047,30.111,30.1151,30.1157,30.119,30.1146,-29.2753,-28.9922,-28.7888,-28.6282,-28.501,-28.4079,-28.3188,-28.2515,-28.1846,27.6832,32.0954,34.3739,35.8026,36.7387,37.3536,37.7479,38.0173,38.2334,30.6768,30.9799,31.1605,31.2893,31.382,31.4464,31.4928,31.5309,31.5637,42.1305,43.0132,43.6735,44.1688,44.5425,44.8194,45.0331,45.202,45.3403
