Sample_ID,Date,Treatment,Plant,Repetition_measurment,Sampling_order_within_day,CH5O+,C3H5O+,C5H7+,C5H9+,C5H11+,C6H9+,C6H11+,C6H13+,C7H9+,C7H11+,C6H11O+,C6H13O+,C6H15O+,C7H7O+,C8H13+,C8H8N+,C10H15+,C10H17+,C8H15O2+,C8H17O2+,C11H17+,C9H11O2+,C11H19+,C8H10NO2+,C10H12O2+,C12H21O2+,C15H25+,C16H27+
Background 1,6/25/2020,background,#N/A,1,1,6.6436281,231.09102,107.00972,364.40036,43.356239,231.92323,228.81412,18.025286,246.79149,87.607941,44.918453,20.123041,2.2981718,71.60498,206.78256,12.896004,18.861031,46.8163223,26.731161,6.8168402,6.0183053,9.0450792,5.5050573,3.4327447,7.1036391,0.55528146,5.93764397,0.45701274
Background 1,6/25/2020,background,#N/A,1,1,4.2032423,211.52844,95.998741,376.77286,45.864689,273.47952,244.05374,19.52039,245.09711,68.532112,45.001041,22.759815,0.6381219,98.959351,180.31458,12.061856,22.588045,50.7693049,31.6754,10.091695,7.3273606,7.6700644,5.2959013,5.6168737,7.9010329,0,4.489594203,0.60370499
Background 1,6/25/2020,background,#N/A,1,1,2.4745834,219.92426,110.86649,413.1622,46.91095,237.91528,250.68704,13.506661,256.50842,75.952568,38.02721,17.481071,1.2597079,53.007877,192.84879,9.1262388,24.524723,55.927931,29.579359,8.8762922,3.4804995,8.740551,3.488811,10.885295,7.4869123,1.2366751,3.85826608,0.2746934
Background 1,6/25/2020,background,#N/A,1,1,2.54002,227.01955,118.09024,405.05206,50.238857,259.97916,252.48038,18.744499,262.0217,85.718681,48.554996,20.073111,2.8196957,67.725403,175.30678,6.8582006,18.994713,55.4786287,25.705992,6.730279,4.4720325,10.346394,6.6998887,10.4832,7.3164401,5.1351104,4.574913,0.057054315
Background 1,6/25/2020,background,#N/A,1,1,3.8778996,237.33961,123.38984,501.58664,45.087528,243.85716,310.81067,19.37817,246.84102,96.931419,46.312473,20.837395,0.41103601,62.900677,236.8212,12.685488,18.548574,50.2328392,42.053719,12.005746,8.4900331,11.666004,9.1599426,5.2982731,8.7335472,3.6070793,3.41743593,2.799686
Background 1,6/25/2020,background,#N/A,1,1,3.2514243,232.6562,135.99419,421.98111,45.837837,232.89546,256.01825,18.211975,268.45782,83.194031,61.232002,17.972834,0.28513274,63.274334,219.80933,7.7169032,17.02644,47.6003076,36.20256,10.057014,6.3252521,10.061061,6.7383418,5.5470676,4.7958064,0,2.3932996,2.5349584
Background 1,6/25/2020,background,#N/A,1,1,6.1623669,248.58821,112.60058,428.64865,47.560062,227.39812,289.17383,17.285042,275.5535,81.252563,47.349728,20.198778,4.9899859,72.338654,254.48645,10.240794,19.111378,49.624604,35.826672,12.632949,5.9178405,11.146619,7.338696,9.5380077,11.57205,0.74373829,2.43893334,0.34881279
Background 1,6/25/2020,background,#N/A,1,1,2.0362086,236.51649,112.73177,409.80362,46.287876,234.66949,266.16223,20.592888,256.70422,83.423241,43.659359,34.186066,1.5346004,80.511169,272.99588,11.925207,22.904821,61.966381,28.872519,7.797935,6.3205142,18.193233,3.6025138,9.338645,8.9069452,2.1092484,3.34845096,2.3815913
Background 1,6/25/2020,background,#N/A,1,1,1.8769579,235.12791,84.651703,341.84076,33.807472,239.61612,196.14302,26.227554,265.16357,82.106819,45.439613,24.27581,2.1305971,67.331619,222.75029,9.6406021,23.148394,55.7437674,35.551987,7.3721867,8.4511795,9.1820335,8.5615864,4.9300413,8.7776737,3.7017143,6.2022024,2.2420309
Background 2,6/25/2020,background,#N/A,2,7,2.2696791,218.66246,89.164848,301.19855,31.426828,184.15491,168.6757,10.591301,165.90454,75.21611,37.381016,10.289095,0.18307319,32.785473,258.83438,14.736038,14.695575,40.3957755,19.650896,8.2928114,8.7494221,16.611027,3.9891741,5.1082883,7.1597247,2.7918723,2.97720056,0.26644903
